       	       	exactly                            	          	      	       	           
2,3-   	       	notating                           	smallest  	      	       	           
free   	       	JI                                 	symbol    	      	Scala  	Scala      
class  	       	symbol                             	subset    	N2D3P9	archive	archive    
name   	N2D3P9 	classes                            	indices   	rank  	rank   	occurrences
119/13 	243.509	                                   	          	235   	-      	0          
221/7  	243.509	                                   	          	235   	329    	2          
625/13 	244.502	                                   	          	237   	604.5  	1          
875/11 	245.081	                                   	          	238.5 	-      	0          
1375/7 	245.081	                                   	          	238.5 	604.5  	1          
187/25 	245.293	                                   	          	240   	-      	0          
931/1  	245.681	                                   	          	241   	-      	0          
67/1   	249.389	                                   	          	242   	252.5  	3          
391/1  	249.806	                                   	          	243   	-      	0          
2125/1 	250.868	                                   	          	244   	-      	0          
125/121	256.752	                                   	          	245   	604.5  	1          
215/1  	256.806	                                   	          	246   	-      	0          
319/1  	256.972	                                   	          	247   	-      	0          
805/1  	257.153	                                   	          	248   	-      	0          
77/19  	257.380	                                   	          	250   	186.5  	5          
133/11 	257.380	                                   	          	250   	604.5  	1          
209/7  	257.380	                                   	          	250   	329    	2          
41/25  	259.414	                                   	          	252   	604.5  	1          
53/5   	260.093	                                   	          	253   	164    	6          
1105/1 	260.903	                                   	          	254   	-      	0          
6875/1 	262.587	                                   	          	255   	-      	0          
29/17  	264.759	                                   	          	256   	186.5  	5          
21875/1	265.842	                                   	          	257   	604.5  	1          
259/1  	266.194	                                   	          	258   	-      	0          
343/13 	268.366	                                   	          	259   	604.5  	1          
55/23  	269.398	                                   	          	261   	217.5  	4          
115/11 	269.398	                                   	          	261   	-      	0          
253/5  	269.398	                                   	          	261   	604.5  	1          
35/29  	272.546	                                   	          	264   	329    	2          
145/7  	272.546	                                   	          	264   	-      	0          
203/5  	272.546	                                   	          	264   	-      	0          
95/49  	272.978	                                   	          	266   	-      	0          
1045/1 	275.764	                                   	          	267   	-      	0          
37/11  	278.870	                                   	          	268   	59.5   	28         
437/1  	279.194	                                   	          	269   	-      	0          
71/1   	280.056	                                   	          	270   	-      	0          
143/49 	281.145	                                   	          	271   	-      	0          
169/125	282.536	                                   	          	272   	-      	0          
1573/1 	284.014	                                   	          	273   	604.5  	1          
85/19  	284.120	                                   	          	275   	604.5  	1          
95/17  	284.120	                                   	          	275   	604.5  	1          
323/5  	284.120	                                   	          	275   	186.5  	5          
43/25  	285.340	                                   	          	277   	217.5  	4          
161/25 	285.725	                                   	          	278   	329    	2          
47/7   	286.352	                                   	          	279   	252.5  	3          
3185/1 	287.535	                                   	          	280   	-      	0          
3773/1 	288.215	                                   	          	281   	-      	0          
221/25 	289.892	                                   	          	282   	-      	0          
12005/1	291.788	                                   	          	283   	186.5  	5          
725/1  	292.014	                                   	          	284   	-      	0          
175/19 	292.477	                                   	          	285.5 	-      	0          
475/7  	292.477	                                   	          	285.5 	-      	0          
341/1  	293.639	                                   	          	287   	604.5  	1          
37/35  	295.772	                                   	          	288   	329    	2          
29/19  	295.907	                                   	          	289   	147    	7          
73/1   	296.056	                                   	          	290   	217.5  	4          
385/13 	301.227	                                   	          	292.5 	329    	2          
455/11 	301.227	                                   	          	292.5 	329    	2          
715/7  	301.227	                                   	          	292.5 	252.5  	3          
1001/5 	301.227	                                   	          	292.5 	164    	6          
31/17  	302.537	                                   	          	295   	81     	16         
377/1  	303.694	                                   	          	296   	-      	0          
91/19  	304.176	                                   	          	298   	-      	0          
133/13 	304.176	                                   	          	298   	-      	0          
247/7  	304.176	  ,'(|                             	6         	298   	252.5  	3          
125/23 	306.134	   ,(|                             	6         	300   	604.5  	1          
209/25 	306.404	                                   	          	301   	-      	0          
235/1  	306.806	                                   	          	302   	-      	0          

